epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32.7812,0.76636,0.5763,0.84748,0.81364,0.71053,0.75006,0.53059,0.86407,0.61776,0.85225,0.00132868,0.00132868,0.00132868
43,33.5194,0.71815,0.55018,0.85628,0.81364,0.71053,0.75006,0.53059,0.86407,0.61776,0.85225,0.00132043,0.00132043,0.00132043
44,34.2659,0.7192,0.55319,0.85253,0.81409,0.71887,0.7496,0.53108,0.93966,0.60587,0.8568,0.00131218,0.00131218,0.00131218
45,35.0119,0.75272,0.53979,0.87555,0.79884,0.71053,0.73449,0.52545,1.01971,0.6414,0.86392,0.00130393,0.00130393,0.00130393
46,35.8203,0.76069,0.54907,0.86498,0.73448,0.68741,0.71572,0.49457,1.0146,0.65386,0.86019,0.00129568,0.00129568,0.00129568
47,36.5351,0.80433,0.58841,0.83854,0.73448,0.68741,0.71572,0.49457,1.0146,0.65386,0.86019,0.00128742,0.00128742,0.00128742
48,37.2519,0.79679,0.56947,0.842,0.70429,0.68421,0.71314,0.49706,0.98979,0.63508,0.84819,0.00127917,0.00127917,0.00127917
49,38.0158,0.75753,0.56957,0.85422,0.68493,0.71053,0.73633,0.50959,0.9431,0.62973,0.83882,0.00127092,0.00127092,0.00127092
50,38.7518,0.75108,0.51447,0.88257,0.66117,0.71053,0.72879,0.52344,0.91801,0.61281,0.84789,0.00126267,0.00126267,0.00126267
51,39.4603,0.79217,0.60975,0.83785,0.66117,0.71053,0.72879,0.52344,0.91801,0.61281,0.84789,0.00125442,0.00125442,0.00125442
52,40.216,0.74288,0.57385,0.83276,0.66315,0.76316,0.74288,0.5206,1.00206,0.60889,0.85126,0.00124617,0.00124617,0.00124617
53,40.9611,0.75034,0.56173,0.87404,0.7425,0.65796,0.74619,0.52152,0.99845,0.58949,0.85268,0.00123791,0.00123791,0.00123791
54,41.6831,0.81224,0.5491,0.84373,0.80777,0.67344,0.7611,0.5415,0.98675,0.58588,0.85877,0.00122966,0.00122966,0.00122966
55,42.3921,0.70731,0.53529,0.83569,0.80777,0.67344,0.7611,0.5415,0.98675,0.58588,0.85877,0.00122141,0.00122141,0.00122141
56,43.1202,0.69052,0.5367,0.86201,0.794,0.73684,0.78131,0.54925,0.91637,0.57275,0.85872,0.00121316,0.00121316,0.00121316
57,43.8893,0.712,0.55049,0.82479,0.81933,0.71939,0.77664,0.55142,0.84772,0.5735,0.85433,0.00120491,0.00120491,0.00120491
58,44.6058,0.65062,0.52049,0.83349,0.83006,0.65789,0.75241,0.54625,0.79908,0.55485,0.85533,0.00119666,0.00119666,0.00119666
59,45.3579,0.79051,0.52796,0.84246,0.83006,0.65789,0.75241,0.54625,0.79908,0.55485,0.85533,0.0011884,0.0011884,0.0011884
60,46.1408,0.68169,0.53778,0.86491,0.85855,0.65789,0.73817,0.53167,0.81274,0.55996,0.85286,0.00118015,0.00118015,0.00118015
61,46.9114,0.66819,0.50704,0.83271,0.80804,0.65789,0.73979,0.53855,0.84219,0.57629,0.84878,0.0011719,0.0011719,0.0011719
62,47.6852,0.70381,0.53255,0.80368,0.94189,0.67988,0.75985,0.55555,0.83707,0.56282,0.83906,0.00116365,0.00116365,0.00116365
63,48.4405,0.64104,0.46254,0.81774,0.94189,0.67988,0.75985,0.55555,0.83707,0.56282,0.83906,0.0011554,0.0011554,0.0011554
64,49.216,0.65406,0.49326,0.83917,0.88407,0.65789,0.76653,0.56014,0.84399,0.55989,0.83334,0.00114715,0.00114715,0.00114715
65,49.9872,0.69287,0.50429,0.80549,0.90049,0.65789,0.76026,0.53891,0.87764,0.57448,0.83591,0.00113889,0.00113889,0.00113889
66,50.6869,0.72108,0.51716,0.82768,0.85651,0.65986,0.78203,0.53363,0.8695,0.59986,0.84268,0.00113064,0.00113064,0.00113064
67,51.3769,0.77795,0.54334,0.84571,0.85651,0.65986,0.78203,0.53363,0.8695,0.59986,0.84268,0.00112239,0.00112239,0.00112239
68,52.0867,0.70131,0.53636,0.82117,0.81859,0.68421,0.7657,0.52609,0.94031,0.59994,0.84963,0.00111414,0.00111414,0.00111414
69,52.7784,0.70827,0.51427,0.83191,0.83376,0.68421,0.75296,0.51481,0.96721,0.58803,0.85532,0.00110589,0.00110589,0.00110589
70,53.4847,0.78659,0.53979,0.84908,0.86441,0.68421,0.77074,0.51653,1.00586,0.59798,0.86237,0.00109764,0.00109764,0.00109764
71,54.2331,0.71897,0.51679,0.8523,0.86441,0.68421,0.77074,0.51653,1.00586,0.59798,0.86237,0.00108938,0.00108938,0.00108938
72,54.9251,0.74602,0.55167,0.85158,0.92314,0.68421,0.78534,0.53137,0.97043,0.57944,0.85595,0.00108113,0.00108113,0.00108113
73,55.588,0.73236,0.55015,0.81883,0.79406,0.73684,0.77181,0.53785,0.90585,0.57373,0.84337,0.00107288,0.00107288,0.00107288
74,56.3042,0.6631,0.48906,0.83304,0.80391,0.73684,0.82034,0.56977,0.92755,0.58405,0.84173,0.00106463,0.00106463,0.00106463
75,56.9761,0.6374,0.48858,0.82114,0.80391,0.73684,0.82034,0.56977,0.92755,0.58405,0.84173,0.00105638,0.00105638,0.00105638
76,57.6479,0.72869,0.5108,0.84858,0.84283,0.75787,0.81248,0.5695,0.95557,0.59869,0.84292,0.00104813,0.00104813,0.00104813
77,58.3181,0.76964,0.49912,0.83437,0.82015,0.81579,0.82996,0.54025,1.01529,0.60372,0.84494,0.00103987,0.00103987,0.00103987
78,58.9981,0.71465,0.53035,0.83935,0.78331,0.81579,0.81641,0.54298,1.03048,0.59231,0.84607,0.00103162,0.00103162,0.00103162
79,59.6812,0.65143,0.496,0.83987,0.78331,0.81579,0.81641,0.54298,1.03048,0.59231,0.84607,0.00102337,0.00102337,0.00102337
80,60.3732,0.6713,0.50737,0.84406,0.78175,0.80345,0.84118,0.56286,0.99058,0.58915,0.83531,0.00101512,0.00101512,0.00101512
81,61.0809,0.72559,0.52319,0.8371,0.73716,0.80683,0.81781,0.56347,0.98717,0.56458,0.82988,0.00100687,0.00100687,0.00100687
82,61.772,0.68792,0.48888,0.82952,0.7612,0.83254,0.82599,0.56822,0.99333,0.55063,0.82865,0.000998616,0.000998616,0.000998616
83,62.4662,0.63802,0.48526,0.81508,0.7612,0.83254,0.82599,0.56822,0.99333,0.55063,0.82865,0.000990365,0.000990365,0.000990365
84,63.1532,0.76043,0.51476,0.8455,0.72322,0.82411,0.82406,0.54673,1.00739,0.5657,0.82884,0.000982113,0.000982113,0.000982113
85,63.8962,0.69876,0.54481,0.84622,0.89521,0.73684,0.84015,0.5346,0.99408,0.58841,0.83124,0.000973861,0.000973861,0.000973861
86,64.6018,0.70747,0.5223,0.83627,0.73652,0.76316,0.79356,0.5197,1.01367,0.58434,0.83751,0.00096561,0.00096561,0.00096561
87,65.2961,0.66736,0.50395,0.86,0.73652,0.76316,0.79356,0.5197,1.01367,0.58434,0.83751,0.000957358,0.000957358,0.000957358
88,65.9889,0.72989,0.57739,0.85661,0.69926,0.76316,0.78753,0.52718,0.98977,0.56548,0.84252,0.000949106,0.000949106,0.000949106
89,66.698,0.63683,0.51729,0.825,0.81637,0.71053,0.79028,0.56616,0.90349,0.53189,0.8378,0.000940855,0.000940855,0.000940855
90,67.3934,0.6523,0.50176,0.82875,0.77498,0.71053,0.77147,0.57174,0.89122,0.54548,0.83177,0.000932603,0.000932603,0.000932603
91,68.076,0.69942,0.50193,0.85464,0.77498,0.71053,0.77147,0.57174,0.89122,0.54548,0.83177,0.000924352,0.000924352,0.000924352
92,68.8042,0.68944,0.50619,0.83972,0.80075,0.71053,0.79662,0.56364,0.93694,0.55187,0.82976,0.0009161,0.0009161,0.0009161
93,69.5031,0.71972,0.50493,0.85326,0.7774,0.71053,0.80074,0.57247,0.91126,0.55525,0.82615,0.000907848,0.000907848,0.000907848
94,70.1933,0.72465,0.54878,0.83213,0.82511,0.71053,0.80966,0.54973,0.944,0.56556,0.82339,0.000899597,0.000899597,0.000899597
95,70.8882,0.68708,0.52023,0.84574,0.82511,0.71053,0.80966,0.54973,0.944,0.56556,0.82339,0.000891345,0.000891345,0.000891345
96,71.5665,0.69938,0.51536,0.84552,0.85761,0.71053,0.78874,0.55863,0.9624,0.57789,0.82128,0.000883093,0.000883093,0.000883093
97,72.2506,0.71624,0.55646,0.83296,0.82577,0.73078,0.79598,0.55259,0.98538,0.59069,0.82124,0.000874842,0.000874842,0.000874842
98,72.9195,0.72912,0.53295,0.8454,0.78484,0.76316,0.77906,0.54742,0.92666,0.57897,0.81834,0.00086659,0.00086659,0.00086659
99,73.6181,0.67665,0.52784,0.85239,0.78484,0.76316,0.77906,0.54742,0.92666,0.57897,0.81834,0.000858338,0.000858338,0.000858338
100,74.3185,0.66438,0.48537,0.8477,0.82073,0.73447,0.77193,0.55961,0.86876,0.57428,0.81655,0.000850087,0.000850087,0.000850087
101,74.9985,0.62424,0.47897,0.84371,0.85673,0.71053,0.77179,0.53958,0.86192,0.56626,0.81854,0.000841835,0.000841835,0.000841835
